tracking_number,carrier,status,error_message,service,service_code,weight_kg,weight_lbs,is_dimensional_weight,origin_city,origin_state,origin_country,destination_city,destination_state,destination_country,distance_km,distance_miles,transport_mode,emission_factor,total_emissions_kg_co2e,main_transit_emissions_kg,last_mile_emissions_kg,trees_needed_1_year,equivalent_miles_driven
TBA324110473502,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.19,2.623,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0074,0.005,0.0024,0,0
TBA324128641374,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.531,9.99,TRUE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0564,0.0473,0.0091,0,0.1
TBA324125882623,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.49,5.49,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0155,0.0106,0.005,0,0
TBA324138132762,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,10.548,23.255,TRUE,Windsor,CT,US,Worcester,MA,US,84.81,52.7,truck_average,0.127,0.1347,0.1136,0.0211,0.01,0.3
TBA324098321587,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,4.21,9.281,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0263,0.0179,0.0084,0,0.1
TBA324138673207,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.133,4.703,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0133,0.009,0.0043,0,0
TBA324098990701,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,13.81,30.446,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0862,0.0586,0.0276,0,0.2
Unknown,FedEx,success,,FedEx Home Delivery,GROUND_HOME_DELIVERY,0.5,1.102,FALSE,KEASBEY,NJ,US,Worcester,MA,US,285.33,177.3,truck_average,0.127,0.0191,0.0181,0.001,0,0
1Z4X4881YT16485000,UPS,success,,UPS Ground Saver®,613,1.769,3.9,FALSE,LONGVIEW,TX,US,WORCESTER,MA,US,2291.93,1424.14,truck_average,0.127,0.5185,0.5149,0.0035,0.02,1.3
TBA324045567964,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,2.074,4.571,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0129,0.0088,0.0041,0,0
Unknown,FedEx,success,,FedEx Home Delivery,GROUND_HOME_DELIVERY,0.59,1.301,FALSE,WILLIAMSVILLE,NY,US,Worcester,MA,US,574.23,356.81,truck_average,0.127,0.0442,0.043,0.0012,0,0.1
9488809000276106897196,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324141089362,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,11.39,25.111,FALSE,Windsor,CT,US,Worcester,MA,US,84.81,52.7,truck_average,0.127,0.1455,0.1227,0.0228,0.01,0.4
TBA324126061330,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.77,1.698,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0048,0.0033,0.0015,0,0
TBA324077872238,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.65,1.433,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0073,0.006,0.0013,0,0
TBA324131861864,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.35,0.772,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.004,0.0033,0.0007,0,0
1Z49J4MT0326626623,UPS,success,,UPS Ground,518,0.998,2.2,FALSE,WOODSIDE,NY,US,WORCESTER,MA,US,243.37,151.22,truck_average,0.127,0.0328,0.0308,0.002,0,0.1
Unknown,FedEx,success,,FedEx Ground,FEDEX_GROUND,3.04,6.702,FALSE,East Providence,RI,US,WORCESTER,MA,US,60.54,37.62,truck_average,0.127,0.0295,0.0234,0.0061,0,0.1
1Z0F41R70324052483,UPS,success,,UPS Ground,518,0.181,0.4,FALSE,AKRON,OH,US,WORCESTER,MA,US,819.2,509.03,truck_average,0.127,0.0192,0.0189,0.0004,0,0
TBA324112809875,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.125,2.48,TRUE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0127,0.0105,0.0023,0,0
TBA324138214464,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,4.197,9.253,TRUE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,last_mile,0.2,0.0614,0.0614,0,0,0.2
TBA324131287137,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.23,2.712,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0139,0.0114,0.0025,0,0
TBA324121119486,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.82,4.012,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0226,0.019,0.0036,0,0.1
1Z097V0V1380438297,UPS,success,,UPS Next Day Air Saver®,556,0.408,0.9,FALSE,KENT,WA,US,WORCESTER,MA,US,3957.72,2459.21,truck_average,0.127,0.206,0.2052,0.0008,0.01,0.5
TBA324132186345,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.78,3.924,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0201,0.0165,0.0036,0,0
TBA324102866033,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,4.999,11.022,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0312,0.0212,0.01,0,0.1
TBA324102318435,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,10.797,23.802,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0674,0.0458,0.0216,0,0.2
TBA324140579632,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,8.29,18.276,FALSE,Windsor,CT,US,Worcester,MA,US,84.81,52.7,truck_average,0.127,0.1059,0.0893,0.0166,0.01,0.3
4720003503378,custom item,unsupported,No credentials configured for carrier: custom item,,,,,,,,,,,,,,,,,,,,
Unknown,FedEx,success,,FedEx Ground,FEDEX_GROUND,0.05,0.11,FALSE,THIEF RIVER FALLS,MN,US,WORCESTER,MA,US,2012.9,1250.76,truck_average,0.127,0.0129,0.0128,0.0001,0,0
TBA324141306420,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,0.38,0.838,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0025,0.0025,0,0,0
TBA324132580609,Amazon,success,,Amazon Same-Day Delivery,AMAZON_SAME_DAY,0.74,1.631,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0049,0.0049,0,0,0
TBA324107162885,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.46,3.219,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0182,0.0152,0.0029,0,0
TBA324109268907,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.768,3.898,TRUE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.02,0.0164,0.0035,0,0
7106543874,custom item,unsupported,No credentials configured for carrier: custom item,,,,,,,,,,,,,,,,,,,,
HTTPSWWWAVANTORSCIENCESCOMUSENVIEW-PACKING-SLIPDOC,custom item,unsupported,No credentials configured for carrier: custom item,,,,,,,,,,,,,,,,,,,,
1Z6177910399549667,UPS,success,,UPS Ground,518,0.68,1.5,FALSE,MOLINE,IL,US,WORCESTER,MA,US,1552.24,964.52,truck_average,0.127,0.1355,0.1341,0.0014,0.01,0.3
TBA324140257738,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,0.5,1.102,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0056,0.0046,0.001,0,0
TBA324129642244,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,1.079,2.38,TRUE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0067,0.0046,0.0022,0,0
TBA324141003744,Amazon,success,,Amazon Standard Shipping,AMAZON_STANDARD,2.71,5.975,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0169,0.0115,0.0054,0,0
TBA324140438536,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.11,2.447,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0125,0.0103,0.0022,0,0
TBA324124434783,Amazon,success,,Amazon Fresh Delivery,AMAZON_FRESH,3.37,7.43,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,last_mile,0.2,0.0225,0.0225,0,0,0.1
TBA324077283556,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,5.96,13.14,FALSE,Bellingham,MA,US,Worcester,MA,US,33.39,20.75,truck_average,0.127,0.0372,0.0253,0.0119,0,0.1
TBA324125601999,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,31.501,69.447,TRUE,Windsor,CT,US,Worcester,MA,US,84.81,52.7,truck_average,0.127,0.4023,0.3393,0.063,0.02,1
TBA324086432661,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,3.09,6.812,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0349,0.0287,0.0062,0,0.1
GF6567627978800,custom item,unsupported,No credentials configured for carrier: custom item,,,,,,,,,,,,,,,,,,,,
TBA324126065000,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.21,2.668,FALSE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.0137,0.0112,0.0024,0,0
TBA324135602715,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,5.839,12.873,TRUE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0727,0.061,0.0117,0,0.2
9200190383095618603612,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
Unknown,FedEx,success,,FedEx Ground,FEDEX_GROUND,1.77,3.902,FALSE,MOONACHIE,NJ,US,Worcester,MA,US,244.82,152.13,truck_average,0.127,0.0586,0.055,0.0035,0,0.1
9534612987525242420619,usps,error,Calculation failed (see logs above),,,,,,,,,,,,,,,,,,,,
TBA324131255312,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,14.406,31.759,TRUE,North Andover,MA,US,Worcester,MA,US,73.19,45.48,truck_average,0.127,0.1627,0.1339,0.0288,0.01,0.4
TBA324133824881,Amazon,success,,Amazon Prime 2-Day Delivery,AMAZON_PRIME,1.65,3.638,FALSE,Fall River,MA,US,Worcester,MA,US,82.23,51.1,truck_average,0.127,0.0205,0.0172,0.0033,0,0.1
